xcoordinate,ycoordinate,InternetSpeedClean,InternetSpeedNoise,UploadSpeed,RSSI,,,,
20,20,35,31,38,-73,,,, 
75,20,36,17,44,-85,,,, 
131,20,32,6,20,-80.5,,,, 
187,20,7.4,25,13,-76,,,, 
243,20,12,2.9,24,-81,,,, 
299,20,3.8,9.2,8.9,-78,,,, 
20,149,6.6,14,7.2,-80,,,, 
75,149,25,24,27,-84,,,, 
131,149,15,16,25,-77,,,, 
187,149,21,26,32,-81,,,, 
243,149,13,24,29,-81,,,, 
299,149,3.6,26,32,-79.5,,,, 
20,279,28,30,44,-73,,,, 
75,279,36,28,49,-72,,,, 
131,279,32,30,35,-76,,,, 
187,279,39,34,54,-81,,,, 
243,279,6.8,27,45,-77,,,, 
299,279,4,32,26,-69,,,, 
20,409,4,37,36,-71.5,,,, 
75,409,4.6,38,35,-74.5,,,, 
131,409,5.4,37,34,-66,,,, 
187,409,6.9,21,34,-66.5,,,, 
243,409,14,13,43,-69,,,, 
299,409,16,17,37,-74,,,, 
20,538,24,3.4,43,-67,,,, 
75,538,22,17,33,-72,,,, 
131,538,34,22,32,-79,,,, 
187,538,7.9,1.5,19,-72.5,,,, 
243,538,24,32,45,-74.5,,,, 
299,538,8,19,29,-76,,,, 
20,668,26,41,39,-77.5,,,, 
75,668,16,26,36,-77,,,, 
131,668,14,34,35,-77,,,, 
187,668,45,46,44,-66,,,, 
243,668,14,37,40,-71,,,, 
299,668,14,34,45,-83,,,, 
20,798,14,3.3,33,-79,,,, 
75,798,16,16,29,-79,,,, 
131,798,7,21,12,-77.5,,,, 
187,798,6.5,4,14,-76,,,, 
243,798,17,0.16,42,-81,,,, 
,,,,,,,,, 
